destination_artifact_id,associated_source_or_payload_hash,exact_destination_path,copy_or_generation_receipt_id,verification_required,dispute_status_on_failure,preserve_destination_on_failure,preserve_source_on_failure,deletion_authorization_required,rollback_status,rollback_is_not_deletion
DEST-ART-011,76b50d2e8aa002bb1692cda21d33efe5a8997466eb7ab28ecfe0f478c5e32667,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json.admission.json,RECEIPT-PENDING-DEST-ART-011,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-012,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,RECEIPT-PENDING-DEST-ART-012,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-013,fadf4bd20f53311f963a137bb421205f7c933943bb9e2178ecf526688b18dded,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-013,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-014,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,RECEIPT-PENDING-DEST-ART-014,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-015,a31372a6b23df0b4d8d8f42ae991cca4693270329a46bd9457eda43ed390f9f6,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json.admission.json,RECEIPT-PENDING-DEST-ART-015,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-016,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,RECEIPT-PENDING-DEST-ART-016,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-017,a74512c67be539af5b6588adc211b6491879ae1ed8d8ffd540aeeb8c6a382c93,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-017,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-018,012d6f93f20d8399079688dd8b4fdeeea246468bc750ea2fe97814f4deb178ed,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,RECEIPT-PENDING-DEST-ART-018,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-019,222fe24774bb9747fb8b64b2d04e04c8566a6f8177e9e5d9e373efada26b29c3,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json.admission.json,RECEIPT-PENDING-DEST-ART-019,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-020,39723cf4cabfd16ccb106c4f4fd3ef106bce5a49760d91be7f1cef03de34cad1,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,RECEIPT-PENDING-DEST-ART-020,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-021,272f95aeb6f802a72e6e960a0a40130d62da87f3f970e30c8da8a57d41b94413,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json.admission.json,RECEIPT-PENDING-DEST-ART-021,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-022,dad4f5dd49b9c685e903e4a7a516ab328e81501a4a29f334843dbc6c7348f87f,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,RECEIPT-PENDING-DEST-ART-022,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-023,e31c97592a1b2ddd7ce1ad790cc8c4601b126bb3e5db7ff1ec5a40815c6dc427,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-023,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-024,45d67bd14c4684ba88e4913061b2ea353c6bbb79cd2a92113fee9cc85957cfea,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,RECEIPT-PENDING-DEST-ART-024,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-025,ba06d7edd108517df80791cedbb3771dcc4b7e28069470853d069902520a91d7,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json.admission.json,RECEIPT-PENDING-DEST-ART-025,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-026,a1551a3cd2a0c8003e9475917acb2a214592da04e85e1595262502d8d0c54a4f,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,RECEIPT-PENDING-DEST-ART-026,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-027,e2c06c74eb0b6c29cdbbd829d1bf66a12dd8e6bf6110db5517fecc21cabc1d54,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-027,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-028,57dd0c4f4e3226d6f23d38a78de37ad7957bfb8a08137ebde2d15e8c9d414bec,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,RECEIPT-PENDING-DEST-ART-028,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-029,c8f336442093f03abf9ea9c48f4b3a1ec0dc4e95548f8b1afb76311ce441b3d9,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json.admission.json,RECEIPT-PENDING-DEST-ART-029,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-030,e824bfe6a7f8fc48644318a13f744ba5d2c1aa2e4da86426881c91a2522cef2b,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,RECEIPT-PENDING-DEST-ART-030,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-031,4799d92781882cddc8f3fb826b9a87a74b613aa00ff93ff7284ac3b65645a64b,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-031,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-032,f0d71382ec14ade9aeb8c350976389bbbd60cf37c3f2cca0bf75be3751f44ce1,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,RECEIPT-PENDING-DEST-ART-032,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-033,9e47e5575dd7d5007d657119eb59777276fb7ba4fd3a922cc2dc7ed6fa5647cb,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-033,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-034,fbe46d68e0893ac8bf98341cd532652ff77275508d1b30375438cabaec225cbc,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,RECEIPT-PENDING-DEST-ART-034,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-035,e79208156a7253c087186b5aa5d51f70072818929923d874ec4fe7d1647a76a3,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md.admission.json,RECEIPT-PENDING-DEST-ART-035,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-036,661ceb80321000c9c69313c66c2b1b64c07efbe3ba16fbe23900c82bf030dc3b,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,RECEIPT-PENDING-DEST-ART-036,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
DEST-ART-037,c4b4ddd98e3ee9f98d72f67270ba95db71bb751c14ff128105601beb5c04f491,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,RECEIPT-PENDING-DEST-ART-037,YES,HASH_OR_CREATION_DISPUTE_HOLD,YES,YES,YES,READY_NON_DESTRUCTIVE,YES
