destination_artifact_id,artifact_type,ratification_decision_id,batch_id,authority_ratified,source_hash_verified_or_payload_hash_defined,destination_parent_exists,destination_parent_compatible,destination_absent,collision_free,path_valid,associated_artifact_defined,creation_sequence_valid,rollback_ready,batch_scope_valid,dry_run_result
DEST-ART-028,SOURCE_COPY,RAT-FILE-CL-016,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-029,ADMISSION_SIDECAR,RAT-FILE-CL-016,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-030,SOURCE_COPY,RAT-FILE-CL-017,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-031,ADMISSION_SIDECAR,RAT-FILE-CL-017,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-032,SOURCE_COPY,RAT-FILE-CL-018,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-033,ADMISSION_SIDECAR,RAT-FILE-CL-018,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-034,SOURCE_COPY,RAT-FILE-CL-019,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-035,ADMISSION_SIDECAR,RAT-FILE-CL-019,CL-MIG-001A,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-036,SOURCE_COPY,RAT-FILE-CL-020,CL-MIG-001B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
DEST-ART-037,SOURCE_COPY,RAT-FILE-CL-021,CL-MIG-001B,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,WOULD_PASS
