item_id,exception_class,severity,detail
MIG-0001,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority
MIG-0014,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0015,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0016,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
MIG-0017,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority
MIG-0018,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions
MIG-0019,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions
MIG-0020,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions
MIG-0021,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions
MIG-0022,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\03_RELEASE_PROFILES\deferred\CL_DEATH_OF_THE_BIT_SPECIAL_PROFILE
MIG-0023,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_AUTHORITY
MIG-0024,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_AUTHORITY
MIG-0025,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions
MIG-0026,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions
MIG-0027,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority
MIG-0028,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority
MIG-0029,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\06_BUILDER\schemas
MIG-0030,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\06_BUILDER\schemas
MIG-0031,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\04_COLLECTION_REGISTRY
MIG-0032,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\04_COLLECTION_REGISTRY
MIG-0033,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\registries\mirrors
MIG-0034,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions
MIG-0035,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\03_RELEASE_PROFILES
MIG-0036,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority
MIG-0037,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority
MIG-0038,PARENT_ABSENT,WARN_EXPECTED,parent not materialized (zero-write; not created): C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE
