item_id,action,old_source_path,new_source_path,source_exists,notes
MIG-0030,REVERIFY,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.v1.1.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.v1.1.json,YES,schema copy candidate rehashed
MIG-0031,RESOLVE_FROM_BUNDLE,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_COLLECTION_STATE_MAP_v1.0.json,YES,former blocked AUTHOR_NEW; now COPY_FILE target=CL_COLLECTION_STATE_MAP_v1.0.json
MIG-0032,RESOLVE_FROM_BUNDLE,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_E_COLLECTION_STATE_LANGUAGE_STANDARD_v1.0.md,YES,former blocked AUTHOR_NEW; now COPY_FILE target=CL_PHASE_01_E_COLLECTION_STATE_LANGUAGE_STANDARD_v1.0.md
MIG-0033,RESOLVE_FROM_BUNDLE,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_D_MIRROR_AND_DUPLICATE_DOCTRINE_v1.0.md,YES,former blocked AUTHOR_NEW; now COPY_FILE target=CL_PHASE_01_D_MIRROR_AND_DUPLICATE_DOCTRINE_v1.0.md
MIG-0034,RESOLVE_FROM_BUNDLE,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\03_STATE_ROOT_AND_DUPLICATES\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,YES,former blocked AUTHOR_NEW; now COPY_FILE target=CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md
MIG-0035,RESOLVE_FROM_BUNDLE,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\02_RELEASE_PROFILES\CL_RELEASE_PROFILE_REGISTRY_v1.0.json,YES,former blocked AUTHOR_NEW; now COPY_FILE target=CL_RELEASE_PROFILE_REGISTRY_v1.0.json
MIG-0036,RESOLVE_FROM_BUNDLE,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\01_GOVERNANCE\CL_PHASE_01_A_GOVERNANCE_CROSS_REFERENCE_v1.0.md,YES,former blocked AUTHOR_NEW; now COPY_FILE target=CL_PHASE_01_A_GOVERNANCE_CROSS_REFERENCE_v1.0.md
MIG-0037,COLLAPSE_WITH_MIG_0040,,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\01_GOVERNANCE\CL-OPS-001_Crisis_Liturgies_Role_Separation_and_Execution_Protocol_v1.0.md,YES,single target; two provenance locators
MIG-0040,COLLAPSED_INTO_MIG_0037,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL-OPS-001 — Crisis Liturgies Role Separation and Execution Protocol v1.0.gdoc,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\01_GOVERNANCE\CL-OPS-001_Crisis_Liturgies_Role_Separation_and_Execution_Protocol_v1.0.md,YES,removed as separate item to eliminate duplicate target
MIG-0038,RESOLVE_EXTERNAL_REF,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\05_EVIDENCE_REFERENCES\CL_PHASE_00_DISK_INVENTORY_EXTERNAL_REF.json,YES,evidence pointer JSON
MIG-0039,KEEP_DEFERRED,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE,YES,CL-MIG-008 only
