item_id,target_path,expected_bytes,observed_bytes,expected_sha256,observed_sha256,bytes_match,hash_match,result
MIG-0011,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,7454,7454,45d67bd14c4684ba88e4913061b2ea353c6bbb79cd2a92113fee9cc85957cfea,45d67bd14c4684ba88e4913061b2ea353c6bbb79cd2a92113fee9cc85957cfea,YES,YES,PASS
MIG-0012,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,4717,4717,a1551a3cd2a0c8003e9475917acb2a214592da04e85e1595262502d8d0c54a4f,a1551a3cd2a0c8003e9475917acb2a214592da04e85e1595262502d8d0c54a4f,YES,YES,PASS
MIG-0013,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,5293,5293,57dd0c4f4e3226d6f23d38a78de37ad7957bfb8a08137ebde2d15e8c9d414bec,57dd0c4f4e3226d6f23d38a78de37ad7957bfb8a08137ebde2d15e8c9d414bec,YES,YES,PASS
MIG-0014,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,4551,4551,e824bfe6a7f8fc48644318a13f744ba5d2c1aa2e4da86426881c91a2522cef2b,e824bfe6a7f8fc48644318a13f744ba5d2c1aa2e4da86426881c91a2522cef2b,YES,YES,PASS
MIG-0015,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,697,697,f0d71382ec14ade9aeb8c350976389bbbd60cf37c3f2cca0bf75be3751f44ce1,f0d71382ec14ade9aeb8c350976389bbbd60cf37c3f2cca0bf75be3751f44ce1,YES,YES,PASS
MIG-0016,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,1816,1816,fbe46d68e0893ac8bf98341cd532652ff77275508d1b30375438cabaec225cbc,fbe46d68e0893ac8bf98341cd532652ff77275508d1b30375438cabaec225cbc,YES,YES,PASS
MIG-0017,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,37831,37831,d77bb589a551c91a92cf1b6c6a677eac1a4543b7e17f172290308d7b70c9b0e9,d77bb589a551c91a92cf1b6c6a677eac1a4543b7e17f172290308d7b70c9b0e9,YES,YES,PASS
MIG-0018,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,8043,8043,748e10eb7b5cd97ecd4a9e380435257ae35820f95ea1c9b4908b4ad05aa2cd1e,748e10eb7b5cd97ecd4a9e380435257ae35820f95ea1c9b4908b4ad05aa2cd1e,YES,YES,PASS
MIG-0019,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,8089,8089,275202a24950daea7ffc0a2a370448f424ace8e9e4b698b48447e13242073fd8,275202a24950daea7ffc0a2a370448f424ace8e9e4b698b48447e13242073fd8,YES,YES,PASS
MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,3168,3168,e2c2be71dc883fc851ce7b4eb2f1b75051ffc68553875463b8c41d496498148a,e2c2be71dc883fc851ce7b4eb2f1b75051ffc68553875463b8c41d496498148a,YES,YES,PASS
MIG-0021,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.json,395,395,1d5b884355aa84715bd664e33e88f37638120a780b4d8bc4f26afd85d988d790,1d5b884355aa84715bd664e33e88f37638120a780b4d8bc4f26afd85d988d790,YES,YES,PASS
MIG-0022,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\03_RELEASE_PROFILES\deferred\CL_DEATH_OF_THE_BIT_SPECIAL_PROFILE\CL_PHASE_01_F_DEATH_BIT_PROFILE_DEFERRAL_v1.0.md,2139,2139,6d404e28e83d6114ba0c4778ca918740d0487ba35fcc501abbafc200902df2e7,6d404e28e83d6114ba0c4778ca918740d0487ba35fcc501abbafc200902df2e7,YES,YES,PASS
MIG-0023,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_AUTHORITY\CL_PHASE_02_NON_DESTRUCTIVE_MIGRATION_PLANNING_CHARTER_v1.0.md,3564,3564,d720514fb99f60389a6ebf878582696089fdfced8b071eedddce3fe1c6123f30,d720514fb99f60389a6ebf878582696089fdfced8b071eedddce3fe1c6123f30,YES,YES,PASS
MIG-0024,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_AUTHORITY\CL_PHASE_02_CURSOR_MIGRATION_PLANNING_PACKET.md,1984,1984,5d189d45af4200b3daed7be08941a5410ab47fce3cbe00eff7c69040f061edd5,5d189d45af4200b3daed7be08941a5410ab47fce3cbe00eff7c69040f061edd5,YES,YES,PASS
MIG-0025,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions\CL_PHASE_00_FINAL_CLOSURE_RECORD_2026-07-13.md,4539,4539,115beb2e38edc0f1cfaae94af2ffd476885251a051e75f261dac0788584b3181,115beb2e38edc0f1cfaae94af2ffd476885251a051e75f261dac0788584b3181,YES,YES,PASS
MIG-0026,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions\CL_PHASE_00_FINAL_CLOSURE_RECORD_2026-07-13.json,868,868,45606d32e44785e4cf679af6458fd55c8b16dee7788fea629e5826e1315e35e4,45606d32e44785e4cf679af6458fd55c8b16dee7788fea629e5826e1315e35e4,YES,YES,PASS
MIG-0027,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_01_AUTHORITY_PROFILE_ROOT_RECONCILIATION_CHARTER_2026-07-13.md,4566,4566,f0707d2a7559027b43bb7529d010d88d974ab3c2a5226cf6e7ef582e23ee219c,f0707d2a7559027b43bb7529d010d88d974ab3c2a5226cf6e7ef582e23ee219c,YES,YES,PASS
MIG-0028,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_01_AUTHORITY_PROFILE_ROOT_RECONCILIATION_CHARTER_2026-07-13.json,646,646,77446f96ed3abfec7307c91dd2084b02a6b22f188e8176c4ff952b3bdebb1113,77446f96ed3abfec7307c91dd2084b02a6b22f188e8176c4ff952b3bdebb1113,YES,YES,PASS
MIG-0029,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\06_BUILDER\schemas\CL_MIGRATION_MANIFEST.schema.json,13255,13255,de6353f41e09c4369ba43ee87b16534e85e1d13acb7384dd76c75e626e677c38,de6353f41e09c4369ba43ee87b16534e85e1d13acb7384dd76c75e626e677c38,YES,YES,PASS
MIG-0030,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\06_BUILDER\schemas\CL_EXTERNAL_BINARY_REFERENCE.schema.json,4976,4976,98bea0629f51586790bb1593fbdc7b77f1700dec9002de9557d3170f59011844,98bea0629f51586790bb1593fbdc7b77f1700dec9002de9557d3170f59011844,YES,YES,PASS
MIG-0031,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\04_COLLECTION_REGISTRY\CL_COLLECTION_STATE_MAP_v1.0.json,3815,3815,5e2752d60de8c8d468bf6603b6c545bf90641eed4091d0225c56237ea5c45e57,5e2752d60de8c8d468bf6603b6c545bf90641eed4091d0225c56237ea5c45e57,YES,YES,PASS
MIG-0032,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\04_COLLECTION_REGISTRY\CL_PHASE_01_E_COLLECTION_STATE_LANGUAGE_STANDARD_v1.0.md,7527,7527,4304183a4a35c87923488a19081346b6d733eaf819e1d6875f946e066d59daa8,4304183a4a35c87923488a19081346b6d733eaf819e1d6875f946e066d59daa8,YES,YES,PASS
MIG-0033,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\registries\mirrors\CL_PHASE_01_D_MIRROR_AND_DUPLICATE_DOCTRINE_v1.0.md,7198,7198,b47a0ee2915e3c6238e237a7ed1c2dff8c3ec07aaef9231430f9e3ca65084502,b47a0ee2915e3c6238e237a7ed1c2dff8c3ec07aaef9231430f9e3ca65084502,YES,YES,PASS
MIG-0034,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\accepted_decisions\CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,3887,3887,37ca57040394817ccf63d90151e7210e2f28ed215a7d88f4a834bae056874d63,37ca57040394817ccf63d90151e7210e2f28ed215a7d88f4a834bae056874d63,YES,YES,PASS
MIG-0035,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\03_RELEASE_PROFILES\CL_RELEASE_PROFILE_REGISTRY_v1.0.json,2200,2200,b44a2f757b921621bbdebd773dd6c86bf087def6e6f9cdebf89bdf419ac91482,b44a2f757b921621bbdebd773dd6c86bf087def6e6f9cdebf89bdf419ac91482,YES,YES,PASS
MIG-0036,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_01_A_GOVERNANCE_CROSS_REFERENCE_v1.0.md,3018,3018,87176c9cd2eda0c363484f8b01e9ed9c34016a278642d3720bd0dcf19b32d575,87176c9cd2eda0c363484f8b01e9ed9c34016a278642d3720bd0dcf19b32d575,YES,YES,PASS
MIG-0037,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL-OPS-001_Crisis_Liturgies_Role_Separation_and_Execution_Protocol_v1.0.md,6605,6605,ea6ee12742f4a8639a553419b137a726486df7fd7643c3ce070390a288cd2303,ea6ee12742f4a8639a553419b137a726486df7fd7643c3ce070390a288cd2303,YES,YES,PASS
MIG-0038,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_DISK_INVENTORY_EXTERNAL_REF.json,1102,1102,b78e53f4b45e84b48f2a3be43d23b3469c490462dc88843b2088288d5890777f,b78e53f4b45e84b48f2a3be43d23b3469c490462dc88843b2088288d5890777f,YES,YES,PASS
