review_record_id,candidate_record_id,mapping_id,batch_id,review_bucket,source_absolute_path,exact_target_parent,exact_target_path,source_exists,source_readable,hash_match,authority_resolved,classification_resolved,target_parent_exists,target_parent_compatible,target_absent,rollback_complete,no_chachipti_dependency,eligibility_status,blocking_reason
REV-001A-0017,CAND-02G-0017,MAP02C-0017,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0018,CAND-02G-0018,MAP02C-0018,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0019,CAND-02G-0019,MAP02C-0019,CL-MIG-001A,PHASE_EVIDENCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0020,CAND-02G-0020,MAP02C-0020,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_01_FINAL_CLOSURE_AND_PHASE_02_PLANNING_PACKAGE_2026-07-13.zip,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_01_FINAL_CLOSURE_AND_PHASE_02_PLANNING_PACKAGE_2026-07-13.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_BINARY
REV-001A-0021,CAND-02G-0021,MAP02C-0021,CL-MIG-001A,PROGRAM_GOVERNANCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0022,CAND-02G-0022,MAP02C-0022,CL-MIG-001A,PROGRAM_GOVERNANCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0023,CAND-02G-0023,MAP02C-0023,CL-MIG-001A,PROGRAM_GOVERNANCE,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,BLOCKED_AUTHORITY,Authority unresolved: RAT-CL-003/004 APPROVED FOR PLANNING ONLY; no per-file AUTHORIZE_COPY; mapping authority_state=PENDING_HUMAN_RATIFICATION
REV-001A-0024,CAND-02G-0024,MAP02C-0024,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_regen_candidates.py,,,YES,YES,YES,NO,YES,NO,N/A,N/A,YES,YES,EXCLUDED,EXCLUDED_NON_GOVERNANCE
REV-001A-0025,CAND-02G-0025,MAP02C-0025,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_00c_patch.py,,,YES,YES,YES,NO,YES,NO,N/A,N/A,YES,YES,EXCLUDED,EXCLUDED_NON_GOVERNANCE
REV-001A-0026,CAND-02G-0026,MAP02C-0026,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_inventory.log,,,YES,YES,YES,NO,YES,NO,N/A,N/A,YES,YES,EXCLUDED,EXCLUDED_NON_GOVERNANCE
REV-001A-0027,CAND-02G-0027,MAP02C-0027,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_inventory.py,,,YES,YES,YES,NO,YES,NO,N/A,N/A,YES,YES,EXCLUDED,EXCLUDED_NON_GOVERNANCE
REV-001A-0028,CAND-02G-0028,MAP02C-0028,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_summarize.py,,,YES,YES,YES,NO,YES,NO,N/A,N/A,YES,YES,EXCLUDED,EXCLUDED_NON_GOVERNANCE
REV-001A-0029,CAND-02G-0029,MAP02C-0029,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_COLLECTION_CANDIDATES.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_COLLECTION_CANDIDATES.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0030,CAND-02G-0030,MAP02C-0030,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_CONFLICTS.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_DISK_CONFLICTS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0031,CAND-02G-0031,MAP02C-0031,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_INVENTORY_RECEIPT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_DISK_INVENTORY_RECEIPT.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0032,CAND-02G-0032,MAP02C-0032,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_ROOTS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_DISK_ROOTS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0033,CAND-02G-0033,MAP02C-0033,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DUPLICATE_HASH_GROUPS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_DUPLICATE_HASH_GROUPS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0034,CAND-02G-0034,MAP02C-0034,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_FILE_INVENTORY.csv,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_FILE_INVENTORY.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0035,CAND-02G-0035,MAP02C-0035,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_KNOWN_CHECKSUM_TESTS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_KNOWN_CHECKSUM_TESTS.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0036,CAND-02G-0036,MAP02C-0036,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_PACKAGE_MANIFEST.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_PACKAGE_MANIFEST.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
REV-001A-0037,CAND-02G-0037,MAP02C-0037,CL-MIG-001A,EXCLUDED,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_POST_CORRECTION_RECEIPT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\04_EXTERNAL_REFERENCES\CL_PHASE_00_POST_CORRECTION_RECEIPT.xbin.json,YES,YES,YES,NO,YES,NO,N/A,YES,YES,YES,EXCLUDED,EXCLUDED_LIFECYCLE
