path,git_status,classification,likely_originating_phase_or_project,uniqueness,tracked_modified_or_untracked,recommended_disposition,action_currently_authorized,notes
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/CL_SERIES_STATUS_MAP.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,UNIQUE_BASENAME,untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/CORRECTIVE_INTAKES/README.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,DUPLICATED_BASENAME_ELSEWHERE (6 other path(s)),untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/CURSOR_PACKETS/README.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,DUPLICATED_BASENAME_ELSEWHERE (6 other path(s)),untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/QUICKSTART.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,UNIQUE_BASENAME,untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
CRISIS_LITURGIES/00_CHACHIPTI_PRODUCTION_LANE/README.md,??,CHACHIPTI_CONTROLLED_MATERIAL,CL-MIG-008 deferred / Chachipti production lane,DUPLICATED_BASENAME_ELSEWHERE (6 other path(s)),untracked,PRESERVE,NO — Chachipti deferred from CL-MIG-001; no lane action authorized,Remains separate from closed CL-MIG-001 governance batch.
CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A / Phase 02L program-governance destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); also mirrored under committed 00_INSTITUTIONAL_CONTROL for some basenames,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase destination copies/admissions; content overlaps names migrated by CL-MIG-001 into institutional control.
CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A / Phase 02L program-governance destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); also mirrored under committed 00_INSTITUTIONAL_CONTROL for some basenames,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase destination copies/admissions; content overlaps names migrated by CL-MIG-001 into institutional control.
CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A / Phase 02L program-governance destinations (parallel lane),UNIQUE_BASENAME; also mirrored under committed 00_INSTITUTIONAL_CONTROL for some basenames,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase destination copies/admissions; content overlaps names migrated by CL-MIG-001 into institutional control.
CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A / Phase 02L program-governance destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); also mirrored under committed 00_INSTITUTIONAL_CONTROL for some basenames,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase destination copies/admissions; content overlaps names migrated by CL-MIG-001 into institutional control.
CRISIS_LITURGIES/00_PROJECT_CONTROL/01_PROGRAM_GOVERNANCE/CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A / Phase 02L program-governance destinations (parallel lane),UNIQUE_BASENAME; also mirrored under committed 00_INSTITUTIONAL_CONTROL for some basenames,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase destination copies/admissions; content overlaps names migrated by CL-MIG-001 into institutional control.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)); many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md.admission.json,??,LATER_PHASE_MIGRATION_WORK,CL-MIG-001A/later Phase 02L phase-evidence destinations (parallel lane),UNIQUE_BASENAME; many basenames also committed under CL_PHASE_00_EVIDENCE,untracked,REVIEW_FOR_SEPARATE_COMMIT,NO,Untracked later-phase evidence destinations + .admission.json sidecars; parallel to closed CL-MIG-001 evidence paths.
CRISIS_LITURGIES/00_PROJECT_CONTROL/05_BUILDER_CONTRACTS/CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02C later-phase migration control,DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)),untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
CRISIS_LITURGIES/00_PROJECT_CONTROL/05_BUILDER_CONTRACTS/CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02C later-phase migration control,DUPLICATED_BASENAME_ELSEWHERE (1 other path(s)),untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_AUTHORITY_EXCEPTION_LEDGER.csv,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02B later-phase migration control,UNIQUE_BASENAME,untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_BATCH_SCOPE.md,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02B later-phase migration control,UNIQUE_BASENAME,untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_COLLISION_MATRIX.csv,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02B later-phase migration control,UNIQUE_BASENAME,untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_FILE_LEVEL_MANIFEST.csv,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02B later-phase migration control,UNIQUE_BASENAME,untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_ROLLBACK_VALIDATION.md,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02B later-phase migration control,UNIQUE_BASENAME,untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_MIG_001_ZERO_WRITE_DRY_RUN.csv,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02B later-phase migration control,UNIQUE_BASENAME,untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02B_PLANNING_QC/CL_PHASE_02B_ARTIFACT_REGISTER.csv,??,LATER_PHASE_MIGRATION_WORK,CL_PHASE_02B later-phase migration control,UNIQUE_BASENAME,untracked,PRESERVE,NO — classify only; no consolidate/commit authorized,"Parallel later-phase lane (MIG-001A/001B/parent materialization/closeout), not accidental replay of closed MIG-001 allowlist."
