COLX-0014,MFR-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,DESTINATION_PARENT_ABSENT,012d6f93f20d8399079688dd8b4fdeeea246468bc750ea2fe97814f4deb178ed,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0015,MFR-0012,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,DESTINATION_PARENT_ABSENT,39723cf4cabfd16ccb106c4f4fd3ef106bce5a49760d91be7f1cef03de34cad1,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0016,MFR-0013,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,DESTINATION_PARENT_ABSENT,dad4f5dd49b9c685e903e4a7a516ab328e81501a4a29f334843dbc6c7348f87f,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0017,MFR-0014,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,DESTINATION_PARENT_ABSENT,45d67bd14c4684ba88e4913061b2ea353c6bbb79cd2a92113fee9cc85957cfea,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0018,MFR-0015,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,DESTINATION_PARENT_ABSENT,a1551a3cd2a0c8003e9475917acb2a214592da04e85e1595262502d8d0c54a4f,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0019,MFR-0016,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,DESTINATION_PARENT_ABSENT,57dd0c4f4e3226d6f23d38a78de37ad7957bfb8a08137ebde2d15e8c9d414bec,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0020,MFR-0017,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,DESTINATION_PARENT_ABSENT,e824bfe6a7f8fc48644318a13f744ba5d2c1aa2e4da86426881c91a2522cef2b,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0021,MFR-0018,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,DESTINATION_PARENT_ABSENT,f0d71382ec14ade9aeb8c350976389bbbd60cf37c3f2cca0bf75be3751f44ce1,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0022,MFR-0019,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,DESTINATION_PARENT_ABSENT,fbe46d68e0893ac8bf98341cd532652ff77275508d1b30375438cabaec225cbc,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0023,MFR-0020,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_01_FINAL_CLOSURE_AND_PHASE_02_PLANNING_PACKAGE_2026-07-13.zip,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PHASE_01_FINAL_CLOSURE_AND_PHASE_02_PLANNING_PACKAGE_2026-07-13.zip,DESTINATION_PARENT_ABSENT,9021e371274581d8309be5569921e942cef8622079ae3e2352bdb47feb922bb6,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0024,MFR-0021,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PROD_ARCH_001_CRISIS_LITURGIES_AUTHORITY_ROLES_SYSTEM_ARCHITECTURE_v0.2.md,DESTINATION_PARENT_ABSENT,d77bb589a551c91a92cf1b6c6a677eac1a4543b7e17f172290308d7b70c9b0e9,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0025,MFR-0022,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.json,DESTINATION_PARENT_ABSENT,748e10eb7b5cd97ecd4a9e380435257ae35820f95ea1c9b4908b4ad05aa2cd1e,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0026,MFR-0023,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_INSTITUTIONAL_CONTROL\authority\CL_PROD_ARCH_001A_RATIFICATION_AND_NAMED_PATCH_RECORD_2026-07-13.md,DESTINATION_PARENT_ABSENT,275202a24950daea7ffc0a2a370448f424ace8e9e4b698b48447e13242073fd8,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0027,MFR-0024,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_regen_candidates.py,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\_regen_candidates.py,DESTINATION_PARENT_ABSENT,349b13295334a8d58cb9cdae2ed7bd75f50a91752e37e0b5d8baf89e5a3b36ec,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0028,MFR-0025,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_00c_patch.py,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\_run_00c_patch.py,DESTINATION_PARENT_ABSENT,2b95b743c0208d8bc391125f93d8ddec104f817a5b834a2be91f562ad1cf32ac,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0029,MFR-0026,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_inventory.log,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\_run_inventory.log,DESTINATION_PARENT_ABSENT,488ee04536240f27e086287788d3255e8171d0b1263d4529775dc41a856e943e,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0030,MFR-0027,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_run_inventory.py,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\_run_inventory.py,DESTINATION_PARENT_ABSENT,c91d8f5312a9a58c36b034da5c0900d76369874d463b5efb610e7d576c5c3e12,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0031,MFR-0028,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\_summarize.py,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\_summarize.py,DESTINATION_PARENT_ABSENT,bb8c7ab3665e9abdb6db02a74fcee220e0408e0d4ee07adccd5c0b9afbf967de,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0032,MFR-0029,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_COLLECTION_CANDIDATES.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_COLLECTION_CANDIDATES.json,DESTINATION_PARENT_ABSENT,38dc8e523454f5f7329a88cbbcfab2b8c3ac90fc60286d5bf7a171520947cba5,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0033,MFR-0030,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_CONFLICTS.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_CONFLICTS.md,DESTINATION_PARENT_ABSENT,c98f39eaba8cc4e068f6495f80571f5df7fad4fbe2b3d2f6721f802c07f4c319,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0034,MFR-0031,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_INVENTORY_RECEIPT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_INVENTORY_RECEIPT.md,DESTINATION_PARENT_ABSENT,5fdc8a809bf0a08f40e7223338f655d456c24b9b504cc009570707c1d5a45c5d,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0035,MFR-0032,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_ROOTS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DISK_ROOTS.json,DESTINATION_PARENT_ABSENT,61c7d9828ce741734575a5d3de12ae108e4302e56e564a3b3053c6cca3969002,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0036,MFR-0033,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DUPLICATE_HASH_GROUPS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_DUPLICATE_HASH_GROUPS.json,DESTINATION_PARENT_ABSENT,aabb93fc9ecaf2308cc6ce36c73e6f622ea271ca1a6eb4f54f4ae242d7fac560,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0037,MFR-0034,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_FILE_INVENTORY.csv,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_FILE_INVENTORY.csv,DESTINATION_PARENT_ABSENT,5489fd9e88343b99fbb0bf345752a8dca3829ea6e0518d0c67dd346ae26a7ea5,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0038,MFR-0035,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_KNOWN_CHECKSUM_TESTS.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_KNOWN_CHECKSUM_TESTS.json,DESTINATION_PARENT_ABSENT,7bccb553881b2c04bda28b06ffdf922c05eb78f5f3ce8c70903875306af064c5,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0039,MFR-0036,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_PACKAGE_MANIFEST.json,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_PACKAGE_MANIFEST.json,DESTINATION_PARENT_ABSENT,f0e7e787ad3f724131d5690fde8dad326bd4cdb631d2d9555205c33d80af3eec,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0040,MFR-0037,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_POST_CORRECTION_RECEIPT.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\CL_PHASE_00_POST_CORRECTION_RECEIPT.md,DESTINATION_PARENT_ABSENT,e37cc6bc2c1f30fedff03c0fc9c45456f589c1077083cc4f84f44a2f919dab08,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0041,MFR-0038,C:\Users\steve\My Drive\The Gradient\00_PROJECT_CONTROL\CL_PHASE_00_DISK_INVENTORY_20260713\SHA256SUMS.txt,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\12_ARCHIVE\provenance\CL_PHASE_00_DISK_INVENTORY_20260713\SHA256SUMS.txt,DESTINATION_PARENT_ABSENT,9d417e76e990e5596162aba39d86b7ed3ba208c5723995a46a9efd4dbe484003,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0042,MFR-0039,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\CL_CHACHIPTI_CORRECTIVE_LANE_PROTOCOL.md,DESTINATION_PARENT_ABSENT,32102c2022839b1f0632a7277e29cbd3f9aa7fea730c315469c43e7e600d28f4,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0043,MFR-0040,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_ENGINE_CONTRACTS.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\CL_CHACHIPTI_ENGINE_CONTRACTS.md,DESTINATION_PARENT_ABSENT,6c73d5095b037cd7449eae2c511dc7462e7ed0131174d5ee159e7767579c8d2f,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0044,MFR-0041,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CHACHIPTI_MASTER_HANDOFF.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\CL_CHACHIPTI_MASTER_HANDOFF.md,DESTINATION_PARENT_ABSENT,309db975d2cde41a881b6747769cbf430ec02f932d962a8d47f72555f5b395b8,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0045,MFR-0042,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_CURSOR_PACKET_EMIT_SPEC.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\CL_CURSOR_PACKET_EMIT_SPEC.md,DESTINATION_PARENT_ABSENT,b74d97e9073414e295405d0daff54ed5d31d39ae3d0fbcbc015194a12d7fa81a,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0046,MFR-0043,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CL_SERIES_STATUS_MAP.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\CL_SERIES_STATUS_MAP.md,DESTINATION_PARENT_ABSENT,afb29ffbbea39d09b28043fa477c78adffec13974082c502d0faf6e12211b8b3,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0047,MFR-0044,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CORRECTIVE_INTAKES\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\README.md,DESTINATION_PARENT_ABSENT,81482930b6692334c5e8a237ccf0b0080848adfae29bb35c0de237042a228392,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0048,MFR-0045,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\CURSOR_PACKETS\README.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\README.md,DESTINATION_PARENT_ABSENT,936a17a70900f866359df7384cf0587ddb0f80e111a153e871bb22bfd35c5e1a,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
COLX-0049,MFR-0046,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_CHACHIPTI_PRODUCTION_LANE\QUICKSTART.md,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\90_QUARANTINE\chachipti_governance_claims\QUICKSTART.md,DESTINATION_PARENT_ABSENT,a0f1ccabdf685bcfed4706873c8d61f25e734c7924b6fa449f1d53116e15d609,,S2,NO,Do not create parents in this phase; human must authorize topology materialization separately
