verification_record_id,repository_relative_path,authorized,staged,staged_status,allowlist_status,set_match
VRF-02N-0017,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0018,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0019,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0020,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0021,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0022,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0023,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0024,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0025,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0026,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0027,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0028,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0029,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.json.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0030,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0031,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0032,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0033,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00B_STATUS_UPDATE_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0034,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0035,CRISIS_LITURGIES/00_PROJECT_CONTROL/03_PHASE_EVIDENCE/CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md.admission.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0036,CRISIS_LITURGIES/00_PROJECT_CONTROL/05_BUILDER_CONTRACTS/CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0037,CRISIS_LITURGIES/00_PROJECT_CONTROL/05_BUILDER_CONTRACTS/CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0038,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_EXTERNAL_BINARY_REFERENCE.schema.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0039,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_EXTERNAL_BINARY_REFERENCE.schema.v1.1.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0040,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_CLOSURE/CL_MIG_001_FINAL_CLOSURE_2026-07-13/CL_MIG_001_FINAL_VERIFICATION_AND_CLOSURE_v1.0.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0041,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_CLOSURE/CL_MIG_001_FINAL_CLOSURE_2026-07-13/CL_MIG_001_FINAL_VERIFICATION_AND_CLOSURE_v1.0.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0042,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_CLOSURE/CL_MIG_001_FINAL_CLOSURE_2026-07-13/SHA256SUMS.txt,YES,NO,NOT_STAGED,??,NO
VRF-02N-0043,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COMMIT_CONTROL/CL_MIG_001_COPY_ONLY_AUTHORIZATION_RECORD_v1.0.md,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0044,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COMMIT_CONTROL/CL_MIG_001_ISOLATED_COMMIT_ALLOWLIST.json,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0045,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COMMIT_CONTROL/CL_MIG_001_ISOLATED_COMMIT_AUTHORIZATION_RECORD_v1.0.md,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0046,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COMMIT_CONTROL/CL_MIG_001_MIGRATION_MANIFEST_COPY_v1.2.1.json,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0047,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COMMIT_CONTROL/CL_MIGRATION_MANIFEST.schema.v1.2.json,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0048,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_AUTHORIZATION_2026-07-13/CL_MIG_001_COPY_AUTHORIZATION_REQUIREMENTS.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0049,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_AUTHORIZATION_2026-07-13/CL_MIG_001_COPY_ONLY_AUTHORIZATION_RECORD_v1.0.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0050,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_AUTHORIZATION_2026-07-13/CL_MIG_001_CURSOR_COPY_ONLY_EXECUTION_PACKET.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0051,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_AUTHORIZATION_2026-07-13/CL_MIG_001_MIGRATION_MANIFEST_COPY_v1.2.1.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0052,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_AUTHORIZATION_2026-07-13/CL_MIGRATION_MANIFEST.schema.v1.2.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0053,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_AUTHORIZATION_2026-07-13/SHA256SUMS.txt,YES,NO,NOT_STAGED,??,NO
VRF-02N-0054,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_EXCEPTIONS.csv,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0055,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_EXECUTION_LEDGER.csv,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0056,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_EXECUTION_RECEIPT.md,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0057,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_COPY_EXECUTION_REPORT.md,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0058,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_CREATED_DIRECTORIES.csv,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0059,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_DESTINATION_OCCUPANCY.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0060,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_DESTINATION_OCCUPANCY_v1.2.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0061,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_DRY_RUN_READINESS_REPORT.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0062,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_DUPLICATE_TARGET_RECONCILIATION.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0063,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_FINAL_CLOSURE_2026-07-13/CL_MIG_001_FINAL_VERIFICATION_AND_CLOSURE_v1.0.json,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0064,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_FINAL_CLOSURE_2026-07-13/CL_MIG_001_FINAL_VERIFICATION_AND_CLOSURE_v1.0.md,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0065,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_FINAL_CLOSURE_2026-07-13/SHA256SUMS.txt,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0066,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_GOVERNANCE_AND_REGISTRIES_PLAN.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0067,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_GOVERNANCE_AND_REGISTRIES_PLAN_v0.2.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0068,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_MIGRATION_MANIFEST_DRY_RUN_v1.2.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0069,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_MIGRATION_MANIFEST_PLAN.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0070,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_MIGRATION_MANIFEST_PLAN_v1.2.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0071,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_MISSING_AUTHORITATIVE_SOURCES.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0072,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_PATH_REFERENCE_BREAKAGE_RISK.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0073,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_PATH_REFERENCE_BREAKAGE_RISK_v1.2.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0074,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_PATH_REFERENCE_HITS.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0075,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_PATH_REFERENCE_HITS_v1.2.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0076,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_PATH_REFERENCE_POST_COPY.csv,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0077,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_POST_COPY_VERIFICATION.csv,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0078,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_ROLLBACK_MANIFEST.json,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0079,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_SCHEMA_VALIDATION_REPORT.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0080,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_SOURCE_RECOVERY_REGISTER.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0081,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_SOURCE_RETENTION_CHECK.csv,YES,NO,NOT_STAGED,UNTRACKED_UNDER_PARENT,NO
VRF-02N-0082,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_ZERO_WRITE_DESTINATION_OCCUPANCY.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0083,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_ZERO_WRITE_DRY_RUN_EXCEPTIONS.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0084,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_ZERO_WRITE_DRY_RUN_REPORT.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0085,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_ZERO_WRITE_DRY_RUN_RESULTS.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0086,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIG_001_ZERO_WRITE_PATH_REFERENCE_HITS.csv,YES,NO,NOT_STAGED,??,NO
VRF-02N-0087,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIGRATION_MANIFEST.schema.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0088,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIGRATION_MANIFEST.schema.v1.1.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0089,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_MIGRATION_MANIFEST.schema.v1.2.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0090,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/00_MANIFEST/BUNDLE_MANIFEST.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0091,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/00_MANIFEST/README.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0092,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/00_MANIFEST/SHA256SUMS.txt,YES,NO,NOT_STAGED,??,NO
VRF-02N-0093,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/01_GOVERNANCE/CL_PHASE_01_A_GOVERNANCE_CROSS_REFERENCE_v1.0.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0094,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/01_GOVERNANCE/CL-OPS-001_Crisis_Liturgies_Role_Separation_and_Execution_Protocol_v1.0.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0095,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/02_RELEASE_PROFILES/CCR_CL_003_FINAL_DISPOSITION_ACCEPTED_WITH_PATCHES_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0096,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/02_RELEASE_PROFILES/CCR_CL_003_FINAL_DISPOSITION_ACCEPTED_WITH_PATCHES_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0097,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/02_RELEASE_PROFILES/CL_RELEASE_PROFILE_REGISTRY_v1.0.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0098,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/02_RELEASE_PROFILES/CL_RELEASE_PROFILE_REGISTRY_v1.0.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0099,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_COLLECTION_STATE_MAP_v1.0.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0100,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_DUPLICATE_RELATIONSHIP_RECORD.schema.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0101,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_PHASE_01_C_CANONICAL_ROOT_DECISION_MATRIX_v0.1.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0102,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0103,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_PHASE_01_C_CANONICAL_ROOT_RATIFICATION_v1.0.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0104,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_PHASE_01_D_MIRROR_AND_DUPLICATE_DOCTRINE_v1.0.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0105,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_PHASE_01_D_MIRROR_AND_DUPLICATE_DOCTRINE_v1.0.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0106,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_PHASE_01_E_COLLECTION_STATE_LANGUAGE_STANDARD_v1.0.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0107,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/03_STATE_ROOT_AND_DUPLICATES/CL_PHASE_01_E_COLLECTION_STATE_LANGUAGE_STANDARD_v1.0.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0108,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/04_PHASE_CLOSURES/CL_PHASE_00_FINAL_CLOSURE_RECORD_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
VRF-02N-0109,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/04_PHASE_CLOSURES/CL_PHASE_00_FINAL_CLOSURE_RECORD_2026-07-13.md,YES,NO,NOT_STAGED,??,NO
VRF-02N-0110,CRISIS_LITURGIES/00_PROJECT_CONTROL/CL_PHASE_02_PLANNING/CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13/04_PHASE_CLOSURES/CL_PHASE_01_AUTHORITY_PROFILE_ROOT_RECONCILIATION_CHARTER_2026-07-13.json,YES,NO,NOT_STAGED,??,NO
